filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info

.\TestOrchestrator4ML\generation\probability_based_label_perturbation.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,28,40,62,[28],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b311-random

.\TestOrchestrator4ML\label_perturbation_attack\probability_based_label_perturbation.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,28,40,62,[28],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b311-random

.\TestOrchestrator4ML\select_repos\dev_count.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,7,0,17,[7],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b404-import-subprocess

.\TestOrchestrator4ML\select_repos\dev_count.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,26,24,75,[26],https://bandit.readthedocs.io/en/1.7.5/plugins/b607_start_process_with_partial_path.html

.\TestOrchestrator4ML\select_repos\dev_count.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,26,24,75,[26],https://bandit.readthedocs.io/en/1.7.5/plugins/b603_subprocess_without_shell_equals_true.html
